year,location,sqft,amenities,real_estate_type,crime_rates,area,Population,GDP (in crores),Fixed Deposit Interest Rate (% p.a.),Literacy Rate (%),Development Rate,HF,Area-wise Price,price
2000,Dindoli,1512,4,Apartment,16.0,Area5,2867000,107,9.5,75.0,1.1,0.03,10.0,204385.95
2000,City Light,2990,5,Villa,10.0,Area2,2867000,107,9.5,75.0,1.1,0.05,40.0,4062458.37
2000,Sachin,1394,1,House,16.0,Area5,2867000,107,9.5,75.0,1.1,0.03,10.0,282652.79
2000,Athwa,2878,4,House,10.0,Area2,2867000,107,9.5,75.0,1.1,0.05,40.0,2681338.99
2000,Varachha,2148,3,Villa,12.0,Area3,2867000,107,9.5,75.0,1.1,0.04,30.0,2059159.9
2000,Udhna,2366,5,House,14.0,Area4,2867000,107,9.5,75.0,1.1,0.04,25.0,1431908.8
2000,Katargam,2191,3,House,14.0,Area4,2867000,107,9.5,75.0,1.1,0.04,25.0,1219918.51
2000,Adajan,2848,8,Apartment,8.0,Area1,2867000,107,9.5,75.0,1.1,0.07,50.0,2495936.17
2000,Katargam,1503,7,House,14.0,Area4,2867000,107,9.5,75.0,1.1,0.04,25.0,982388.69
2000,Udhna,1260,7,Villa,14.0,Area4,2867000,107,9.5,75.0,1.1,0.04,25.0,1128581.37
2000,City Light,2048,2,House,10.0,Area2,2867000,107,9.5,75.0,1.1,0.05,40.0,1749050.4
2000,Udhna,1997,7,Villa,14.0,Area4,2867000,107,9.5,75.0,1.1,0.04,25.0,1788711.91
2000,Sarthana,1153,10,House,14.0,Area4,2867000,107,9.5,75.0,1.1,0.04,25.0,837357.99
2000,Sachin,1839,7,Apartment,16.0,Area5,2867000,107,9.5,75.0,1.1,0.03,10.0,301857.43
2000,Bhestan,2589,3,House,16.0,Area5,2867000,107,9.5,75.0,1.1,0.03,10.0,574951.35
2000,Athwa,2464,5,Apartment,10.0,Area2,2867000,107,9.5,75.0,1.1,0.05,40.0,1434767.91
2000,Katargam,2943,2,House,14.0,Area4,2867000,107,9.5,75.0,1.1,0.04,25.0,1567377.3
2000,Udhna,1624,10,Villa,14.0,Area4,2867000,107,9.5,75.0,1.1,0.04,25.0,1572557.83
2000,Vesu,2562,10,House,8.0,Area1,2867000,107,9.5,75.0,1.1,0.07,50.0,3742151.49
2000,Piplod,2206,9,Apartment,12.0,Area3,2867000,107,9.5,75.0,1.1,0.04,30.0,1217589.69
2000,City Light,1128,8,Villa,10.0,Area2,2867000,107,9.5,75.0,1.1,0.05,40.0,1663958.11
2000,Varachha,2976,1,Apartment,12.0,Area3,2867000,107,9.5,75.0,1.1,0.04,30.0,950971.42
2000,City Light,1315,9,House,10.0,Area2,2867000,107,9.5,75.0,1.1,0.05,40.0,1480380.79
2000,Sachin,2331,10,Villa,16.0,Area5,2867000,107,9.5,75.0,1.1,0.03,10.0,900271.45
2000,Katargam,2349,1,Villa,14.0,Area4,2867000,107,9.5,75.0,1.1,0.04,25.0,1762809.24
2000,Piplod,1274,4,Villa,12.0,Area3,2867000,107,9.5,75.0,1.1,0.04,30.0,1258317.39
2000,Katargam,1167,7,House,14.0,Area4,2867000,107,9.5,75.0,1.1,0.04,25.0,762772.85
2000,Katargam,2026,5,Villa,14.0,Area4,2867000,107,9.5,75.0,1.1,0.04,25.0,1716595.99
2000,City Light,1974,3,Villa,10.0,Area2,2867000,107,9.5,75.0,1.1,0.05,40.0,2528778.44
2000,Athwa,2925,8,House,10.0,Area2,2867000,107,9.5,75.0,1.1,0.05,40.0,3179315.25
2000,Althan,1967,10,House,12.0,Area3,2867000,107,9.5,75.0,1.1,0.04,30.0,1714223.6
2000,City Light,2439,1,House,10.0,Area2,2867000,107,9.5,75.0,1.1,0.05,40.0,1988294.84
2000,Althan,2452,3,Apartment,12.0,Area3,2867000,107,9.5,75.0,1.1,0.04,30.0,925988.67
2000,Sarthana,2029,2,Apartment,14.0,Area4,2867000,107,9.5,75.0,1.1,0.04,25.0,589418.69
2000,Althan,1412,9,Villa,12.0,Area3,2867000,107,9.5,75.0,1.1,0.04,30.0,1599709.63
2000,Athwa,2370,10,Villa,10.0,Area2,2867000,107,9.5,75.0,1.1,0.05,40.0,3680086.52
2000,Pal,1368,10,Apartment,8.0,Area1,2867000,107,9.5,75.0,1.1,0.07,50.0,1332100.77
2000,Adajan,1255,3,House,8.0,Area1,2867000,107,9.5,75.0,1.1,0.07,50.0,1405376.04
2000,Athwa,2472,1,House,10.0,Area2,2867000,107,9.5,75.0,1.1,0.05,40.0,2015196.74
2000,Althan,1215,2,House,12.0,Area3,2867000,107,9.5,75.0,1.1,0.04,30.0,776498.84
2000,Varachha,2565,4,House,12.0,Area3,2867000,107,9.5,75.0,1.1,0.04,30.0,1788300.37
2000,Vesu,2437,9,Villa,8.0,Area1,2867000,107,9.5,75.0,1.1,0.07,50.0,4627443.46
2000,Sachin,2051,9,Villa,16.0,Area5,2867000,107,9.5,75.0,1.1,0.03,10.0,772327.47
2000,Adajan,1089,10,Apartment,8.0,Area1,2867000,107,9.5,75.0,1.1,0.07,50.0,1060422.32
2000,Udhna,1206,6,Apartment,14.0,Area4,2867000,107,9.5,75.0,1.1,0.04,25.0,467119.39
2000,Varachha,2504,4,Villa,12.0,Area3,2867000,107,9.5,75.0,1.1,0.04,30.0,2473176.41
2000,Bhestan,1444,10,Villa,16.0,Area5,2867000,107,9.5,75.0,1.1,0.03,10.0,557697.11
2000,Varachha,1249,7,Villa,12.0,Area3,2867000,107,9.5,75.0,1.1,0.04,30.0,1342474.41
2000,Bhestan,1448,1,Apartment,16.0,Area5,2867000,107,9.5,75.0,1.1,0.03,10.0,153791.54
2000,Udhna,2960,5,Villa,14.0,Area4,2867000,107,9.5,75.0,1.1,0.04,25.0,2507958.61
2000,Piplod,1305,3,House,12.0,Area3,2867000,107,9.5,75.0,1.1,0.04,30.0,871927.15
2000,Udhna,1511,6,House,14.0,Area4,2867000,107,9.5,75.0,1.1,0.04,25.0,951039.21
2000,Varachha,2828,4,Apartment,12.0,Area3,2867000,107,9.5,75.0,1.1,0.04,30.0,1150136.26
2000,Althan,1591,9,Villa,12.0,Area3,2867000,107,9.5,75.0,1.1,0.04,30.0,1802505.68
2000,Piplod,2974,4,Apartment,12.0,Area3,2867000,107,9.5,75.0,1.1,0.04,30.0,1209513.87
2000,Pal,2810,6,Apartment,8.0,Area1,2867000,107,9.5,75.0,1.1,0.07,50.0,2189007.69
2000,Katargam,1237,6,House,14.0,Area4,2867000,107,9.5,75.0,1.1,0.04,25.0,778580.74
2000,Dindoli,2557,4,Apartment,16.0,Area5,2867000,107,9.5,75.0,1.1,0.03,10.0,345644.76
2000,Sarthana,1915,5,Apartment,14.0,Area4,2867000,107,9.5,75.0,1.1,0.04,25.0,695377.52
2000,Vesu,1916,2,Apartment,8.0,Area1,2867000,107,9.5,75.0,1.1,0.07,50.0,1119432.05
2000,Varachha,2732,4,Apartment,12.0,Area3,2867000,107,9.5,75.0,1.1,0.04,30.0,1111093.44
2000,Udhna,2720,8,House,14.0,Area4,2867000,107,9.5,75.0,1.1,0.04,25.0,1843688.49
2000,Althan,2551,9,Villa,12.0,Area3,2867000,107,9.5,75.0,1.1,0.04,30.0,2890126.95
2000,Vesu,2387,8,Apartment,8.0,Area1,2867000,107,9.5,75.0,1.1,0.07,50.0,2091924.03
2000,Varachha,2644,5,Villa,12.0,Area3,2867000,107,9.5,75.0,1.1,0.04,30.0,2688260.49
2000,Ghod Dod Road,2615,1,Apartment,10.0,Area2,2867000,107,9.5,75.0,1.1,0.05,40.0,1116642.29
2000,Sarthana,1532,6,Villa,14.0,Area4,2867000,107,9.5,75.0,1.1,0.04,25.0,1335124.84
2000,Vesu,1738,1,Villa,8.0,Area1,2867000,107,9.5,75.0,1.1,0.07,50.0,2623206.32
2000,Bhestan,1707,5,House,16.0,Area5,2867000,107,9.5,75.0,1.1,0.03,10.0,412045.09
2000,Dindoli,1468,6,House,16.0,Area5,2867000,107,9.5,75.0,1.1,0.03,10.0,368528.11
2000,Pal,1649,1,Apartment,8.0,Area1,2867000,107,9.5,75.0,1.1,0.07,50.0,883149.7
2000,Vesu,1383,1,House,8.0,Area1,2867000,107,9.5,75.0,1.1,0.07,50.0,1414042.49
2000,Athwa,1839,9,Villa,10.0,Area2,2867000,107,9.5,75.0,1.1,0.05,40.0,2784171.78
2000,Piplod,2947,8,House,12.0,Area3,2867000,107,9.5,75.0,1.1,0.04,30.0,2397066.17
2000,Athwa,1717,4,House,10.0,Area2,2867000,107,9.5,75.0,1.1,0.05,40.0,1599673.05
2000,Dindoli,1813,4,Apartment,16.0,Area5,2867000,107,9.5,75.0,1.1,0.03,10.0,245073.89
2000,Katargam,2795,10,Apartment,14.0,Area4,2867000,107,9.5,75.0,1.1,0.04,25.0,1353232.49
2000,Sachin,1676,10,Apartment,16.0,Area5,2867000,107,9.5,75.0,1.1,0.03,10.0,323649.71
2000,Althan,1110,1,Villa,12.0,Area3,2867000,107,9.5,75.0,1.1,0.04,30.0,999600.64
2000,Sarthana,2500,3,Apartment,14.0,Area4,2867000,107,9.5,75.0,1.1,0.04,25.0,786763.08
2000,Athwa,1440,6,House,10.0,Area2,2867000,107,9.5,75.0,1.1,0.05,40.0,1453401.26
2000,City Light,1897,1,House,10.0,Area2,2867000,107,9.5,75.0,1.1,0.05,40.0,1546451.55
2000,City Light,2127,10,Villa,10.0,Area2,2867000,107,9.5,75.0,1.1,0.05,40.0,3302761.19
2000,Dindoli,2820,6,Apartment,16.0,Area5,2867000,107,9.5,75.0,1.1,0.03,10.0,435652.59
2000,City Light,1921,10,House,10.0,Area2,2867000,107,9.5,75.0,1.1,0.05,40.0,2237166.52
2000,Dindoli,2458,5,Villa,16.0,Area5,2867000,107,9.5,75.0,1.1,0.03,10.0,830655.86
2000,Udhna,1868,6,Apartment,14.0,Area4,2867000,107,9.5,75.0,1.1,0.04,25.0,723531.53
2000,Vesu,2734,8,Apartment,8.0,Area1,2867000,107,9.5,75.0,1.1,0.07,50.0,2396028.61
2000,Dindoli,2859,5,Apartment,16.0,Area5,2867000,107,9.5,75.0,1.1,0.03,10.0,414072.73
2000,Katargam,2714,1,House,14.0,Area4,2867000,107,9.5,75.0,1.1,0.04,25.0,1379716.15
2000,Piplod,2970,4,Villa,12.0,Area3,2867000,107,9.5,75.0,1.1,0.04,30.0,2933440.08
2000,Dindoli,1064,10,Villa,16.0,Area5,2867000,107,9.5,75.0,1.1,0.03,10.0,410934.72
2000,City Light,1261,10,House,10.0,Area2,2867000,107,9.5,75.0,1.1,0.05,40.0,1468540.85
