year,location,sqft,amenities,real_estate_type,HF,price
2000,5,1512,4,1,3.33,204385.95
2000,2,2990,5,3,5.33,4062458.37
2000,5,1394,1,2,3.33,282652.79
2000,2,2878,4,2,5.33,2681338.99
2000,3,2148,3,3,4.44,2059159.9
2000,4,2366,5,2,3.81,1431908.8
2000,4,2191,3,2,3.81,1219918.51
2000,1,2848,8,1,6.66,2495936.17
2000,4,1503,7,2,3.81,982388.69
2000,4,1260,7,3,3.81,1128581.37
2000,2,2048,2,2,5.33,1749050.4
2000,4,1997,7,3,3.81,1788711.91
2000,4,1153,10,2,3.81,837357.99
2000,5,1839,7,1,3.33,301857.43
2000,5,2589,3,2,3.33,574951.35
2000,2,2464,5,1,5.33,1434767.91
2000,4,2943,2,2,3.81,1567377.3
2000,4,1624,10,3,3.81,1572557.83
2000,1,2562,10,2,6.66,3742151.49
2000,3,2206,9,1,4.44,1217589.69
2000,2,1128,8,3,5.33,1663958.11
2000,3,2976,1,1,4.44,950971.42
2000,2,1315,9,2,5.33,1480380.79
2000,5,2331,10,3,3.33,900271.45
2000,4,2349,1,3,3.81,1762809.24
2000,3,1274,4,3,4.44,1258317.39
2000,4,1167,7,2,3.81,762772.85
2000,4,2026,5,3,3.81,1716595.99
2000,2,1974,3,3,5.33,2528778.44
2000,2,2925,8,2,5.33,3179315.25
2000,3,1967,10,2,4.44,1714223.6
2000,2,2439,1,2,5.33,1988294.84
2000,3,2452,3,1,4.44,925988.67
2000,4,2029,2,1,3.81,589418.69
2000,3,1412,9,3,4.44,1599709.63
2000,2,2370,10,3,5.33,3680086.52
2000,1,1368,10,1,6.66,1332100.77
2000,1,1255,3,2,6.66,1405376.04
2000,2,2472,1,2,5.33,2015196.74
2000,3,1215,2,2,4.44,776498.84
2000,3,2565,4,2,4.44,1788300.37
2000,1,2437,9,3,6.66,4627443.46
2000,5,2051,9,3,3.33,772327.47
2000,1,1089,10,1,6.66,1060422.32
2000,4,1206,6,1,3.81,467119.39
2000,3,2504,4,3,4.44,2473176.41
2000,5,1444,10,3,3.33,557697.11
2000,3,1249,7,3,4.44,1342474.41
2000,5,1448,1,1,3.33,153791.54
2000,4,2960,5,3,3.81,2507958.61
2000,3,1305,3,2,4.44,871927.15
2000,4,1511,6,2,3.81,951039.21
2000,3,2828,4,1,4.44,1150136.26
2000,3,1591,9,3,4.44,1802505.68
2000,3,2974,4,1,4.44,1209513.87
2000,1,2810,6,1,6.66,2189007.69
2000,4,1237,6,2,3.81,778580.74
2000,5,2557,4,1,3.33,345644.76
2000,4,1915,5,1,3.81,695377.52
2000,1,1916,2,1,6.66,1119432.05
2000,3,2732,4,1,4.44,1111093.44
2000,4,2720,8,2,3.81,1843688.49
2000,3,2551,9,3,4.44,2890126.95
2000,1,2387,8,1,6.66,2091924.03
2000,3,2644,5,3,4.44,2688260.49
2000,2,2615,1,1,5.33,1116642.29
2000,4,1532,6,3,3.81,1335124.84
2000,1,1738,1,3,6.66,2623206.32
2000,5,1707,5,2,3.33,412045.09
2000,5,1468,6,2,3.33,368528.11
2000,1,1649,1,1,6.66,883149.7
2000,1,1383,1,2,6.66,1414042.49
2000,2,1839,9,3,5.33,2784171.78
2000,3,2947,8,2,4.44,2397066.17
2000,2,1717,4,2,5.33,1599673.05
2000,5,1813,4,1,3.33,245073.89
2000,4,2795,10,1,3.81,1353232.49
2000,5,1676,10,1,3.33,323649.71
2000,3,1110,1,3,4.44,999600.64
2000,4,2500,3,1,3.81,786763.08
2000,2,1440,6,2,5.33,1453401.26
2000,2,1897,1,2,5.33,1546451.55
2000,2,2127,10,3,5.33,3302761.19
2000,5,2820,6,1,3.33,435652.59
2000,2,1921,10,2,5.33,2237166.52
2000,5,2458,5,3,3.33,830655.86
2000,4,1868,6,1,3.81,723531.53
2000,1,2734,8,1,6.66,2396028.61
2000,5,2859,5,1,3.33,414072.73
2000,4,2714,1,2,3.81,1379716.15
2000,3,2970,4,3,4.44,2933440.08
2000,5,1064,10,3,3.33,410934.72
2000,2,1261,10,2,5.33,1468540.85
2000,5,2779,3,2,3.33,617145.54
2000,2,1685,2,2,5.33,1439038.05
2000,4,1091,4,2,3.81,633864.75
2000,3,1363,1,3,4.44,1227437.55
2000,3,1624,2,3,4.44,1509655.51
2000,1,1529,3,1,6.66,967769.26
2000,1,2595,2,3,6.66,4043042.67
2000,5,2413,4,3,3.33,792150.05
2000,1,1742,1,2,6.66,1781100.52
2000,4,2247,10,2,3.81,1631867.66
2000,3,2375,4,1,4.44,965902.98
2000,2,2435,7,3,5.33,3497440.87
2000,4,1313,3,2,3.81,731060.25
2000,2,2649,9,3,5.33,4010479.09
2000,1,1483,7,1,6.66,1227470.48
2000,3,2118,6,1,4.44,984436.69
2000,1,2351,5,2,6.66,2861630.94
2000,5,1674,7,3,3.33,598037.46
2000,3,1809,6,1,4.44,840814.91
2000,1,1792,2,2,6.66,1919471.51
2000,5,2789,3,3,3.33,888655.98
2000,5,2001,6,2,3.33,502332.93
2000,1,2955,9,1,6.66,2733581.78
2000,4,1480,2,1,3.81,429935.76
2000,2,2704,8,3,5.33,3988779.01
2000,5,1045,5,2,3.33,252247.87
2000,4,2535,1,1,3.81,675042.72
2000,1,1273,1,3,6.66,1921370.34
2000,4,2035,5,1,3.81,738952.09
2000,4,1196,8,3,3.81,1100209.49
2000,4,2943,4,1,3.81,997421.92
2000,3,1757,6,3,4.44,1837452.48
2000,5,1104,6,3,3.33,383745.05
2000,3,1092,5,3,4.44,1110280.05
2000,2,2899,1,2,5.33,2363291.0
2000,5,1319,10,3,3.33,509420.01
2000,2,1001,10,3,5.33,1554331.9
2000,1,1669,5,1,6.66,1218901.41
2000,4,1366,9,1,3.81,628296.89
2000,5,2102,9,3,3.33,791532.1
2000,2,2606,7,3,5.33,3743051.71
2000,3,1188,5,1,4.44,517665.9
2000,5,2748,1,1,3.33,291864.06
2000,1,2087,1,1,6.66,1117727.97
2000,2,1986,9,1,5.33,1464814.18
2000,2,2761,4,2,5.33,2572333.89
2000,3,1075,6,1,4.44,499655.07
2000,1,1176,1,2,6.66,1202396.22
2000,2,1736,3,2,5.33,1549984.12
2000,4,1474,2,3,3.81,1141847.41
2000,4,2126,7,2,3.81,1389593.05
2000,1,2584,10,2,6.66,3774285.5
2000,4,1360,8,2,3.81,921844.24
2000,5,2327,6,2,3.33,584172.28
2000,1,1102,9,2,6.66,1555967.7
2000,1,2288,3,2,6.66,2562151.71
2000,5,2371,9,2,3.33,663897.09
2000,1,2215,4,1,6.66,1509811.58
2000,3,1952,8,2,4.44,1587741.14
2000,4,1036,8,3,3.81,953024.27
2000,5,2206,10,2,3.33,638995.76
2000,1,1187,2,2,6.66,1271435.65
2000,1,2668,2,3,6.66,4156777.59
2000,3,1708,7,3,4.44,1835825.7
2000,3,2802,4,2,4.44,1953535.14
2000,1,1058,2,1,6.66,618141.5
2000,3,1854,8,3,4.44,2046610.42
2000,2,1682,2,3,5.33,2089419.58
2000,3,1553,10,3,4.44,1804568.21
2000,4,2881,2,3,3.81,2231792.66
2000,3,1195,2,3,4.44,1110861.05
2000,3,2522,5,3,4.44,2564218.22
2000,4,1298,3,1,3.81,408487.39
2000,2,1637,4,2,5.33,1525139.65
2000,3,1976,2,1,4.44,688826.81
2000,1,1437,5,2,6.66,1749112.57
2000,1,1891,3,3,6.66,3038270.62
2000,5,2826,4,3,3.33,927731.47
2000,1,2751,1,2,6.66,2812748.29
2000,5,1344,8,3,3.33,493121.66
2000,5,2396,3,3,3.33,763434.82
2000,2,1565,6,1,5.33,972039.73
2000,1,1856,5,2,6.66,2259118.26
2000,5,2128,7,1,3.33,349294.51
2000,5,1111,4,3,3.33,364723.87
2000,5,2645,4,3,3.33,868312.01
2000,5,2280,8,2,3.33,616402.07
2000,2,2800,5,1,5.33,1630418.08
2000,4,1967,5,2,3.81,1190433.05
2000,1,2523,5,1,6.66,1842593.33
2000,1,1403,1,1,6.66,751400.26
2000,1,2943,9,1,6.66,2722480.94
2000,2,1851,6,3,5.33,2586774.74
2000,5,2148,10,3,3.33,829593.77
2000,4,1560,3,1,3.81,490940.16
2000,1,1763,9,3,6.66,3347633.49
2000,1,1502,1,2,6.66,1535713.54
2000,3,2388,9,1,4.44,1318043.6
2000,1,1029,7,2,6.66,1352695.74
2000,1,2192,9,1,6.66,2027753.39
2000,1,1322,5,1,6.66,965480.93
2000,5,2074,3,2,3.33,460582.89
